date,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,Dade,Desoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,Santa Rosa,Sarasota,Seminole,St. Johns,St. Lucie,Sumter,Suwannee,Taylor,Union,Lafayette,Volusia,Wakulla,Walton,Washington
1/12/2018,63.83333333,0.416666667,25,1.833333333,156.75,661.8333333,0.416666667,33.16666667,16.75,31.83333333,141,4.333333333,796.5833333,1.916666667,0.166666667,171.5833333,37.5,25.58333333,1.5,2.083333333,0.833333333,0.416666667,0.833333333,0.083333333,0.5,2.666666667,22.91666667,11.75,368.3333333,0.666666667,32.08333333,1.25,2.083333333,74.75,147,54.66666667,1.916666667,0.583333333,0.333333333,104.8333333,45.83333333,60.66666667,26.41666667,16.25,33.91666667,2.666666667,437.0833333,56.5,661.9166667,101.9166667,292.3333333,84.08333333,3.083333333,25.25,165.25,157.25,91.58333333,50.08333333,23.5,1.666666667,0.083333333,0.083333333,150.0833333,89.91666667,2.083333333,17.58333333,1.083333333
2/12/2018,127.6666667,0.833333333,50,3.666666667,313.5,1323.666667,0.833333333,66.33333333,33.5,63.66666667,282,8.666666667,1593.166667,3.833333333,0.333333333,343.1666667,75,51.16666667,3,4.166666667,1.666666667,0.833333333,1.666666667,0.166666667,1,5.333333333,45.83333333,23.5,736.6666667,1.333333333,64.16666667,2.5,4.166666667,149.5,294,109.3333333,3.833333333,1.166666667,0.666666667,209.6666667,91.66666667,121.3333333,52.83333333,32.5,67.83333333,5.333333333,874.1666667,113,1323.833333,203.8333333,584.6666667,168.1666667,6.166666667,50.5,330.5,314.5,183.1666667,100.1666667,47,3.333333333,0.166666667,0.166666667,300.1666667,179.8333333,4.166666667,35.16666667,2.166666667
3/12/2018,191.5,1.25,75,5.5,470.25,1985.5,1.25,99.5,50.25,95.5,423,13,2389.75,5.75,0.5,514.75,112.5,76.75,4.5,6.25,2.5,1.25,2.5,0.25,1.5,8,68.75,35.25,1105,2,96.25,3.75,6.25,224.25,441,164,5.75,1.75,1,314.5,137.5,182,79.25,48.75,101.75,8,1311.25,169.5,1985.75,305.75,877,252.25,9.25,75.75,495.75,471.75,274.75,150.25,70.5,5,0.25,0.25,450.25,269.75,6.25,52.75,3.25
4/12/2018,255.3333333,1.666666667,100,7.333333333,627,2647.333333,1.666666667,132.6666667,67,127.3333333,564,17.33333333,3186.333333,7.666666667,0.666666667,686.3333333,150,102.3333333,6,8.333333333,3.333333333,1.666666667,3.333333333,0.333333333,2,10.66666667,91.66666667,47,1473.333333,2.666666667,128.3333333,5,8.333333333,299,588,218.6666667,7.666666667,2.333333333,1.333333333,419.3333333,183.3333333,242.6666667,105.6666667,65,135.6666667,10.66666667,1748.333333,226,2647.666667,407.6666667,1169.333333,336.3333333,12.33333333,101,661,629,366.3333333,200.3333333,94,6.666666667,0.333333333,0.333333333,600.3333333,359.6666667,8.333333333,70.33333333,4.333333333
5/12/2018,319.1666667,2.083333333,125,9.166666667,783.75,3309.166667,2.083333333,165.8333333,83.75,159.1666667,705,21.66666667,3982.916667,9.583333333,0.833333333,857.9166667,187.5,127.9166667,7.5,10.41666667,4.166666667,2.083333333,4.166666667,0.416666667,2.5,13.33333333,114.5833333,58.75,1841.666667,3.333333333,160.4166667,6.25,10.41666667,373.75,735,273.3333333,9.583333333,2.916666667,1.666666667,524.1666667,229.1666667,303.3333333,132.0833333,81.25,169.5833333,13.33333333,2185.416667,282.5,3309.583333,509.5833333,1461.666667,420.4166667,15.41666667,126.25,826.25,786.25,457.9166667,250.4166667,117.5,8.333333333,0.416666667,0.416666667,750.4166667,449.5833333,10.41666667,87.91666667,5.416666667
6/12/2018,383,2.5,150,11,940.5,3971,2.5,199,100.5,191,846,26,4779.5,11.5,1,1029.5,225,153.5,9,12.5,5,2.5,5,0.5,3,16,137.5,70.5,2210,4,192.5,7.5,12.5,448.5,882,328,11.5,3.5,2,629,275,364,158.5,97.5,203.5,16,2622.5,339,3971.5,611.5,1754,504.5,18.5,151.5,991.5,943.5,549.5,300.5,141,10,0.5,0.5,900.5,539.5,12.5,105.5,6.5
7/12/2018,446.8333333,2.916666667,175,12.83333333,1097.25,4632.833333,2.916666667,232.1666667,117.25,222.8333333,987,30.33333333,5576.083333,13.41666667,1.166666667,1201.083333,262.5,179.0833333,10.5,14.58333333,5.833333333,2.916666667,5.833333333,0.583333333,3.5,18.66666667,160.4166667,82.25,2578.333333,4.666666667,224.5833333,8.75,14.58333333,523.25,1029,382.6666667,13.41666667,4.083333333,2.333333333,733.8333333,320.8333333,424.6666667,184.9166667,113.75,237.4166667,18.66666667,3059.583333,395.5,4633.416667,713.4166667,2046.333333,588.5833333,21.58333333,176.75,1156.75,1100.75,641.0833333,350.5833333,164.5,11.66666667,0.583333333,0.583333333,1050.583333,629.4166667,14.58333333,123.0833333,7.583333333
8/12/2019,510.6666667,3.333333333,200,14.66666667,1254,5294.666667,3.333333333,265.3333333,134,254.6666667,1128,34.66666667,6372.666667,15.33333333,1.333333333,1372.666667,300,204.6666667,12,16.66666667,6.666666667,3.333333333,6.666666667,0.666666667,4,21.33333333,183.3333333,94,2946.666667,5.333333333,256.6666667,10,16.66666667,598,1176,437.3333333,15.33333333,4.666666667,2.666666667,838.6666667,366.6666667,485.3333333,211.3333333,130,271.3333333,21.33333333,3496.666667,452,5295.333333,815.3333333,2338.666667,672.6666667,24.66666667,202,1322,1258,732.6666667,400.6666667,188,13.33333333,0.666666667,0.666666667,1200.666667,719.3333333,16.66666667,140.6666667,8.666666667
9/12/2018,574.5,3.75,225,16.5,1410.75,5956.5,3.75,298.5,150.75,286.5,1269,39,7169.25,17.25,1.5,1544.25,337.5,230.25,13.5,18.75,7.5,3.75,7.5,0.75,4.5,24,206.25,105.75,3315,6,288.75,11.25,18.75,672.75,1323,492,17.25,5.25,3,943.5,412.5,546,237.75,146.25,305.25,24,3933.75,508.5,5957.25,917.25,2631,756.75,27.75,227.25,1487.25,1415.25,824.25,450.75,211.5,15,0.75,0.75,1350.75,809.25,18.75,158.25,9.75
10/12/2018,638.3333333,4.166666667,250,18.33333333,1567.5,6618.333333,4.166666667,331.6666667,167.5,318.3333333,1410,43.33333333,7965.833333,19.16666667,1.666666667,1715.833333,375,255.8333333,15,20.83333333,8.333333333,4.166666667,8.333333333,0.833333333,5,26.66666667,229.1666667,117.5,3683.333333,6.666666667,320.8333333,12.5,20.83333333,747.5,1470,546.6666667,19.16666667,5.833333333,3.333333333,1048.333333,458.3333333,606.6666667,264.1666667,162.5,339.1666667,26.66666667,4370.833333,565,6619.166667,1019.166667,2923.333333,840.8333333,30.83333333,252.5,1652.5,1572.5,915.8333333,500.8333333,235,16.66666667,0.833333333,0.833333333,1500.833333,899.1666667,20.83333333,175.8333333,10.83333333
