county,2018_Fl_reg,2019_Fl_reg,2020_Fl_reg,2021_Fl_reg,2018_Total_Stations,2019_Total_Stations,2020_Total_Stations,2021_Total_Stations,2018,2019,2020,2021,2019_%increase,2020_%increase,2021_%increase,2022_Predictions,fips,state
Alachua,766,699,2454,2774,17.0,22.0,29.0,41.0,2.219321148825065,3.1473533619456364,1.1817440912795436,1.4780100937274692,-8.7467362924282,251.07296137339054,13.039934800325998,2963.5000000000005,12001,FL
Baker,5,12,41,42,0.0,1.0,1.0,1.0,0.0,8.333333333333332,2.4390243902439024,2.380952380952381,140.0,241.66666666666666,2.4390243902439024,47.499992440196905,12003,FL
Bay,300,237,876,972,8.0,9.0,13.0,16.0,2.666666666666667,3.79746835443038,1.4840182648401825,1.646090534979424,-21.0,269.62025316455697,10.95890410958904,1042.499997141285,12005,FL
Bradford,22,9,35,39,2.0,2.0,2.0,2.0,9.090909090909092,22.22222222222222,5.714285714285714,5.128205128205128,-59.09090909090909,288.88888888888886,11.428571428571429,41.49999119634694,12007,FL
Brevard,1881,1657,6088,6843,31.0,36.0,52.0,69.0,1.648059542796385,2.172601086300543,0.8541392904073587,1.0083296799649275,-11.908559276980329,267.41098370549184,12.40144546649146,7293.999589900369,12009,FL
Broward,7942,6542,23689,26767,91.0,123.0,171.0,243.0,1.1458071014857718,1.8801589727911954,0.7218540250749292,0.907834273545784,-17.62780156131957,262.10638948333843,12.993372451348728,28499.000000000004,12011,FL
Calhoun,5,5,11,14,,,,,,,,,0.0,120.0,27.27272727272727,14.99999268804838,12013,FL
Charlotte,398,362,1314,1489,2.0,2.0,3.0,5.0,0.5025125628140703,0.5524861878453038,0.228310502283105,0.33579583613163194,-9.045226130653267,262.98342541436466,13.318112633181126,1582.5,12015,FL
Citrus,201,161,637,750,6.0,9.0,10.0,19.0,2.9850746268656714,5.590062111801243,1.5698587127158554,2.533333333333333,-19.900497512437813,295.65217391304344,17.739403453689167,773.999992624998,12017,FL
Clay,382,297,1051,1184,3.0,5.0,7.0,7.0,0.7853403141361256,1.6835016835016834,0.6660323501427212,0.5912162162162162,-22.25130890052356,253.8720538720539,12.654614652711704,1265.9999919378245,12019,FL
Collier,1692,1395,5466,6384,26.0,30.0,43.0,48.0,1.5366430260047281,2.1505376344086025,0.7866813025978778,0.7518796992481203,-17.5531914893617,291.82795698924735,16.794731064763997,6622.500000000002,12021,FL
Columbia,52,41,142,180,3.0,4.0,5.0,6.0,5.769230769230769,9.75609756097561,3.5211267605633805,3.3333333333333335,-21.153846153846153,246.34146341463415,26.76056338028169,181.49999278320732,12023,FL
Dade,9559,7936,29977,34827,162.0,223.0,312.0,435.0,1.6947379432995082,2.8099798387096775,1.0407979450912366,1.249030924282884,-16.978763468982113,277.734375,16.179070620809288,36370.00000000001,12086,FL
Desoto,23,22,70,83,0.0,1.0,1.0,1.0,0.0,4.545454545454546,1.4285714285714286,1.2048192771084338,-4.3478260869565215,218.18181818181816,18.571428571428573,87.49999284919662,12027,FL
Dixie,2,3,8,7,,,,,,,,,50.0,166.66666666666669,-12.5,8.99999244894288,12029,FL
Duval,2059,1733,6101,6878,52.0,83.0,123.0,159.0,2.525497814473045,4.789382573571841,2.0160629405015573,2.311718522826403,-15.832928606119475,252.04847085978074,12.73561711194886,7356.000000000002,12031,FL
Escambia,450,389,1449,1631,12.0,17.0,20.0,22.0,2.666666666666667,4.370179948586118,1.3802622498274673,1.3488657265481299,-13.555555555555557,272.4935732647815,12.560386473429952,1734.5000000000002,12033,FL
Flagler,307,258,969,1092,4.0,5.0,7.0,8.0,1.3029315960912053,1.937984496124031,0.7223942208462332,0.7326007326007326,-15.960912052117262,275.5813953488372,12.693498452012383,1159.4999912871326,12035,FL
Franklin,18,18,59,63,1.0,4.0,6.0,9.0,5.555555555555555,22.22222222222222,10.16949152542373,14.285714285714285,0.0,227.77777777777777,6.779661016949152,69.99999270487413,12037,FL
Gadsden,25,22,78,80,,,,,,,,,-12.0,254.54545454545453,2.564102564102564,89.99999329679358,12039,FL
Gilchrist,10,13,39,38,,,,,,,,,30.0,200.0,-2.564102564102564,44.99999237444413,12041,FL
Glades,5,4,21,24,,,,,,,,,-20.0,425.0,14.285714285714285,24.499992519879683,12043,FL
Gulf,10,7,36,38,1.0,1.0,1.0,1.0,10.0,14.285714285714285,2.7777777777777777,2.631578947368421,-30.0,414.28571428571433,5.555555555555555,40.499992411364815,12045,FL
Hamilton,1,2,10,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.11111111111111,100.0,400.0,-10.0,10.49999260952342,12047,FL
Hardee,6,4,30,29,,,,,,,,,-33.33333333333333,650.0,-3.3333333333333335,31.499992374444133,12049,FL
Hendry,32,29,103,117,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.418803418803419,-9.375,255.17241379310346,13.592233009708737,124.49999252295436,12051,FL
Hernando,275,229,888,1039,1.0,1.0,2.0,3.0,0.36363636363636365,0.43668122270742354,0.22522522522522523,0.28873917228103946,-16.727272727272727,287.77292576419217,17.004504504504506,1078.0,12053,FL
Highlands,141,110,347,399,7.0,7.0,8.0,16.0,4.964539007092199,6.363636363636363,2.3054755043227666,4.010025062656641,-21.98581560283688,215.45454545454547,14.985590778097983,427.9999937156142,12055,FL
Hillsborough,4420,3849,14000,16110,77.0,104.0,135.0,186.0,1.742081447963801,2.7020005196154844,0.9642857142857142,1.1545623836126628,-12.918552036199097,263.73083917900755,15.071428571428571,16979.4939014716,12057,FL
Holmes,8,6,10,10,,,,,,,,,-25.0,66.66666666666666,0.0,12.99999250431594,12059,FL
Indian River,385,331,1300,1461,5.0,5.0,8.0,10.0,1.2987012987012987,1.5105740181268883,0.6153846153846154,0.6844626967830253,-14.025974025974024,292.74924471299096,12.384615384615385,1546.0,12061,FL
Jackson,15,15,43,47,1.0,2.0,2.0,4.0,6.666666666666667,13.333333333333334,4.651162790697675,8.51063829787234,0.0,186.66666666666666,9.30232558139535,52.49999239615289,12063,FL
Jefferson,25,21,60,60,0.0,0.0,1.0,4.0,0.0,0.0,1.6666666666666667,6.666666666666667,-16.0,185.71428571428572,0.0,70.49999266474069,12065,FL
Lake,897,816,2823,3218,10.0,21.0,26.0,38.0,1.1148272017837235,2.5735294117647056,0.9210060219624512,1.1808576755748912,-9.03010033444816,245.95588235294116,13.992206872121857,3428.5002047485987,12069,FL
Lee,1764,1463,5628,6683,26.0,32.0,39.0,55.0,1.473922902494331,2.1872863978127137,0.6929637526652452,0.822983689959599,-17.063492063492063,284.688995215311,18.7455579246624,6886.998079353831,12071,FL
Leon,656,569,2135,2377,15.0,17.0,22.0,34.0,2.2865853658536586,2.987697715289982,1.0304449648711944,1.430374421539756,-13.26219512195122,275.219683655536,11.334894613583138,2540.499870851241,12073,FL
Levy,23,24,82,106,,,,,,,,,4.3478260869565215,241.66666666666666,29.268292682926827,105.99999273956956,12075,FL
