county,2018_Fl_reg,2019_Fl_reg,2020_Fl_reg,2021_Fl_reg,county2,2017,2018,2019,2020,2021,2018_Total_Stations,2019_Total_Stations,2020_Total_Stations,2021_Total_Stations
Alachua,766,699,2454,2774,Alachua,12,5,5,7,12,17,22,29,41
Baker,5,12,41,42,Baker,0,0,1,0,0,0,1,1,1
Bay,300,237,876,972,Bay,8,0,1,4,3,8,9,13,16
Bradford,22,9,35,39,Bradford,2,0,0,0,0,2,2,2,2
Brevard,1881,1657,6088,6843,Brevard,26,5,5,16,17,31,36,52,69
Broward,7942,6542,23689,26767,Broward,76,15,32,48,72,91,123,171,243
Calhoun,5,5,11,14,,,,,,,,,,
Charlotte,398,362,1314,1489,Charlotte,2,0,0,1,2,2,2,3,5
Citrus,201,161,637,750,Citrus,6,0,3,1,9,6,9,10,19
Clay,382,297,1051,1184,Clay,2,1,2,2,0,3,5,7,7
Collier,1692,1395,5466,6384,Collier,21,5,4,13,5,26,30,43,48
Columbia,52,41,142,180,Columbia,3,0,1,1,1,3,4,5,6
Dade,9559,7936,29977,34827,Dade,104,58,61,89,123,162,223,312,435
Desoto,23,22,70,83,Desoto,0,0,1,0,0,0,1,1,1
Dixie,2,3,8,7,,,,,,,,,,
Duval,2059,1733,6101,6878,Duval,43,9,31,40,36,52,83,123,159
Escambia,450,389,1449,1631,Escambia,12,0,5,3,2,12,17,20,22
Flagler,307,258,969,1092,Flagler,4,0,1,2,1,4,5,7,8
Franklin,18,18,59,63,Franklin,1,0,3,2,3,1,4,6,9
Gadsden,25,22,78,80,,,,,,,,,,
Gilchrist,10,13,39,38,,,,,,,,,,
Glades,5,4,21,24,,,,,,,,,,
Gulf,10,7,36,38,Gulf,1,0,0,0,0,1,1,1,1
Hamilton,1,2,10,9,Hamilton,0,0,0,0,1,0,0,0,1
Hardee,6,4,30,29,,,,,,,,,,
Hendry,32,29,103,117,Hendry,0,0,0,0,4,0,0,0,4
Hernando,275,229,888,1039,Hernando,1,0,0,1,1,1,1,2,3
Highlands,141,110,347,399,Highlands,6,1,0,1,8,7,7,8,16
Hillsborough,4420,3849,14000,16110,Hillsborough,62,15,27,31,51,77,104,135,186
Holmes,8,6,10,10,,,,,,,,,,
Indian River,385,331,1300,1461,Indian River,5,0,0,3,2,5,5,8,10
Jackson,15,15,43,47,Jackson,1,0,1,0,2,1,2,2,4
Jefferson,25,21,60,60,Jefferson,0,0,0,1,3,0,0,1,4
Lake,897,816,2823,3218,Lake,9,1,11,5,12,10,21,26,38
Lee,1764,1463,5628,6683,Lee,20,6,6,7,16,26,32,39,55
Leon,656,569,2135,2377,Leon,12,3,2,5,12,15,17,22,34
Levy,23,24,82,106,,,,,,,,,,
Liberty,7,4,12,13,,,,,,,,,,
Madison,4,2,22,29,,,,,,,,,,
Manatee,1258,1116,4133,4864,Manatee,19,5,6,6,13,24,30,36,49
Marion,550,460,1670,1900,Marion,13,1,0,1,3,14,14,15,18
Martin,728,563,2114,2319,Martin,7,1,4,9,3,8,12,21,24
Monroe,317,284,953,1047,Monroe,24,3,2,4,1,27,29,33,34
Nassau,195,163,577,657,Nassau,9,4,0,1,2,13,13,14,16
Okaloosa,407,308,1284,1448,Okaloosa,11,3,2,4,1,14,16,20,21
Okeechobee,32,21,74,87,Okeechobee,4,0,2,2,8,4,6,8,16
Orange,5245,4830,17617,19980,Orange,110,23,32,61,105,133,165,226,331
Osceola,678,642,2579,3064,Osceola,15,1,8,16,28,16,24,40,68
Palm Beach,7943,6131,22458,25106,Palm Beach,61,22,23,38,70,83,106,144,214
Pasco,1223,1141,4299,4902,Pasco,9,4,1,5,15,13,14,19,34
Pinellas,3508,3014,10590,11760,Pinellas,49,13,30,36,68,62,92,128,196
Polk,1009,855,3217,3686,Polk,13,0,7,10,15,13,20,30,45
Putnam,37,42,155,172,Putnam,4,0,0,0,2,4,4,4,6
Santa Rosa,303,260,988,1141,Santa Rosa,3,0,4,1,1,3,7,8,9
Sarasota,1983,1633,5953,6673,Sarasota,31,8,2,13,25,39,41,54,79
Seminole,1887,1563,5450,6065,Seminole,13,4,13,13,17,17,30,43,60
St. Johns,1099,973,3830,4446,St. Johns,16,4,3,3,6,20,23,26,32
St. Lucie,601,523,2046,2400,St. Lucie,17,0,0,8,7,17,17,25,32
Sumter,282,255,859,952,Sumter,3,1,0,1,4,4,4,5,9
Suwannee,20,16,56,61,Suwannee,0,0,1,0,0,0,1,1,1
Taylor,1,6,18,20,Taylor,1,0,1,1,3,1,2,3,6
Union,1,2,12,16,Union,1,0,0,0,0,1,1,1,1
Lafayette,1801,1778,6221,7489,,,,,,,,,,
Volusia,1079,903,3371,3796,Volusia,22,4,8,14,9,26,34,48,57
Wakulla,25,21,76,90,Wakulla,0,0,0,0,4,0,0,0,4
Walton,211,171,649,772,Walton,7,1,1,4,1,8,9,13,14
Washington,13,10,25,30,Washington,0,0,0,1,0,0,0,1,1
Grand Total,67209,56980,209378,238849,,,,,,,,,,
