county,2018,2019,2020,Grand Total
Alachua,766,699,1600,3065
Baker,5,12,28,45
Bay,300,237,570,1107
Bradford,22,9,24,55
Brevard,1881,1657,3958,7496
Broward,7942,6542,15545,30029
Calhoun,5,5,7,17
Charlotte,398,362,857,1617
Citrus,201,161,408,770
Clay,382,297,689,1368
Collier,1692,1395,3520,6607
Columbia,52,41,89,182
Dade,9559,7936,19528,37023
Desoto,23,22,43,88
Dixie,2,3,6,11
Duval,2059,1733,3990,7782
Escambia,450,389,954,1793
Flagler,307,258,628,1193
Franklin,18,18,40,76
Gadsden,11,,,11
Gadsen,14,22,52,88
Gilchrist,10,13,26,49
Glades,5,4,14,23
Gulf,10,7,24,41
Hamilton,1,2,7,10
Hardee,6,4,20,30
Hendry,32,29,68,129
Hernando,275,229,576,1080
Highlands,141,110,228,479
Hillsborough,4420,3849,9127,17396
Holmes,8,6,7,21
Indian River,385,331,855,1571
Jackson,15,15,28,58
Jefferson,25,21,39,85
Lake,897,816,1850,3563
Lee,1764,1463,3628,6855
Leon,656,569,1393,2618
Levy,23,24,53,100
Liberty,7,4,8,19
Madison,4,2,13,19
Manatee,1258,1116,2678,5052
Marion,550,460,1088,2098
Martin,728,563,1382,2673
Monroe,317,284,626,1227
Nassau,195,163,380,738
Okaloosa,407,308,828,1543
Okeechobee,32,21,49,102
Orange,5245,4830,11496,21571
Osceola,678,642,1656,2976
Other,1801,,,1801
Palm Beach,7943,6131,14742,28816
Pasco,1223,1141,2791,5155
Pinellas,3508,3014,6947,13469
Polk,1009,855,2098,3962
Putnam,37,42,101,180
Santa Rosa,303,260,640,1203
Sarasota,1983,1633,3886,7502
Seminole,1887,1563,3575,7025
St. Johns,1099,973,2469,4541
St. Lucie,601,523,1321,2445
Sumter,282,255,571,1108
Suwannee,20,16,37,73
Taylor,1,6,12,19
Union,1,2,7,10
Unknown,,1778,3995,5773
Volusia,1079,903,2202,4184
Wakulla,25,21,50,96
Walton,211,171,420,802
Washington,13,10,17,40
Grand Total,67209,56980,136564,260753
