observation_date,AKPOP_20211221,ALPOP_20211221,ARPOP_20211221,AZPOP_20211221,CAPOP_20211221,COPOP_20211221,CTPOP_20211221,DCPOP_20211221,DEPOP_20211221,FLPOP_20211221,GAPOP_20211221,HIPOP_20211221,IAPOP_20211221,IDPOP_20211221,ILPOP_20211221,INPOP_20211221,KSPOP_20211221,KYPOP_20211221,LAPOP_20211221,MAPOP_20211221,MDPOP_20211221,MEPOP_20211221,MIPOP_20211221,MNPOP_20211221,MOPOP_20211221,MSPOP_20211221,MTPOP_20211221,NCPOP_20211221,NDPOP_20211221,NEPOP_20211221,NHPOP_20211221,NJPOP_20211221,NMPOP_20211221,NVPOP_20211221,NYPOP_20211221,OHPOP_20211221,OKPOP_20211221,ORPOP_20211221,PAPOP_20211221,RIPOP_20211221,SCPOP_20211221,SDPOP_20211221,TNPOP_20211221,TXPOP_20211221,UTPOP_20211221,VAPOP_20211221,VTPOP_20211221,WAPOP_20211221,WIPOP_20211221,WVPOP_20211221,WYPOP_20211221
2010-01-01,713.982,4785.514,2921.998,6407.342,37319.55,5047.539,3579.173,605.282,899.647,18846.143,9712.209,1364.004,3050.819,1570.819,12840.545,6490.555,2858.266,4348.464,4544.635,6566.44,5788.784,1327.651,9877.597,5310.934,5996.089,2970.615,990.73,9574.586,674.752,1829.591,1316.807,8799.451,2064.614,2702.483,19399.956,11539.449,3760.014,3837.614,12711.406,1053.994,4635.846,816.193,6355.518,25241.897,2775.413,8024.004,625.886,6743.009,5690.538,1854.265,564.531
2011-01-01,722.349,4799.642,2941.038,6473.416,37636.311,5121.9,3588.632,620.29,907.59,19055.607,9803.63,1379.562,3066.772,1584.272,12867.783,6517.25,2869.677,4370.817,4576.244,6614.218,5840.241,1328.473,9883.053,5346.62,6011.182,2979.147,997.518,9658.913,685.526,1840.914,1320.444,8828.552,2080.707,2713.114,19499.921,11545.735,3788.824,3872.672,12747.052,1053.829,4672.655,823.74,6400.298,25645.504,2814.797,8102.437,627.197,6827.479,5705.84,1856.606,567.491
2012-01-01,730.810,4816.632,2952.876,6556.344,37944.551,5193.66,3595.211,635.737,915.518,19302.016,9903.58,1395.199,3076.844,1595.91,12883.029,6538.989,2886.024,4387.865,4602.067,6664.269,5888.375,1328.094,9898.289,5377.5,6026.027,2984.599,1004.168,9751.81,702.227,1853.691,1324.677,8845.671,2087.715,2744.67,19574.362,11550.971,3819.32,3900.102,12769.123,1054.893,4719.027,833.859,6455.752,26084.12,2854.146,8187.456,626.361,6898.599,5720.825,1857.446,576.656
2013-01-01,737.626,4831.586,2960.459,6634.69,38253.768,5270.774,3595.792,651.559,924.062,19551.678,9975.592,1408.822,3093.935,1612.053,12895.778,6570.575,2894.306,4406.906,4626.04,6715.158,5925.197,1328.543,9914.802,5414.722,6042.989,2989.839,1014.158,9846.717,723.149,1865.813,1327.272,8857.821,2092.833,2776.956,19626.488,11579.692,3853.891,3924.11,12779.538,1055.56,4766.469,842.751,6496.943,26479.646,2898.773,8255.861,626.603,6966.252,5738.012,1854.768,582.620
2014-01-01,737.075,4843.737,2968.759,6732.873,38586.706,5352.637,3595.697,663.603,933.131,19853.88,10071.204,1415.335,3110.643,1632.248,12885.092,6596.019,2901.861,4416.992,4645.938,6764.864,5960.064,1331.217,9932.033,5452.665,6059.13,2991.892,1022.657,9937.295,738.736,1879.955,1334.257,8867.277,2090.236,2818.935,19653.431,11606.573,3879.187,3965.447,12792.392,1056.511,4826.858,849.67,6544.617,26963.092,2938.327,8315.43,625.693,7057.531,5753.199,1850.569,583.159
2015-01-01,738.430,4854.803,2979.732,6832.81,38904.296,5454.328,3588.561,677.014,942.065,20219.111,10183.353,1422.999,3122.541,1652.495,12859.585,6611.442,2910.717,4429.126,4666.998,6797.484,5988.528,1329.098,9934.483,5484.002,6075.411,2990.231,1031.495,10037.218,755.537,1892.059,1337.48,8870.312,2090.071,2868.531,19657.321,11622.315,3910.518,4018.542,12789.838,1056.886,4896.006,854.663,6595.354,27468.531,2983.626,8367.303,625.81,7167.287,5762.927,1843.332,586.389
2016-01-01,742.575,4866.824,2991.815,6944.767,39149.186,5543.844,3579.83,687.576,949.989,20627.237,10308.442,1428.885,3133.21,1684.036,12821.709,6637.898,2912.977,4440.306,4681.346,6827.28,6007.014,1332.348,9954.117,5525.36,6091.384,2990.595,1042.137,10161.802,756.114,1906.483,1343.694,8873.584,2092.555,2919.555,19636.391,11640.06,3928.143,4093.271,12788.468,1057.816,4963.031,863.693,6651.277,27914.064,3044.241,8417.651,624.366,7299.961,5775.17,1832.435,585.243
2017-01-01,740.983,4877.989,3003.855,7048.088,39337.785,5617.421,3575.324,697.079,957.942,20977.089,10417.031,1425.763,3143.734,1719.745,12779.893,6662.068,2910.892,4455.59,4673.673,6863.56,6028.186,1335.743,9976.752,5569.283,6111.382,2990.674,1053.862,10275.758,756.755,1916.998,1350.395,8888.147,2092.844,2972.097,19593.849,11665.706,3933.602,4147.294,12794.679,1056.554,5027.102,873.732,6714.748,28291.024,3103.54,8471.011,625.132,7427.951,5793.147,1818.683,579.994
2018-01-01,736.624,4891.628,3012.161,7164.228,39437.463,5697.155,3574.561,704.147,966.985,21254.926,10519.389,1423.102,3149.9,1752.074,12724.685,6698.481,2912.748,4464.273,4664.45,6885.72,6042.153,1340.123,9987.286,5608.762,6125.986,2982.879,1061.818,10391.358,760.062,1925.512,1355.064,8891.73,2093.754,3030.725,19544.098,11680.892,3943.488,4183.538,12809.107,1059.338,5091.702,879.386,6778.18,28624.564,3155.153,8510.92,624.802,7526.793,5809.319,1805.953,579.054
2019-01-01,733.603,4907.965,3020.985,7291.843,39437.61,5758.486,3566.022,708.253,976.668,21492.056,10628.02,1415.615,3159.596,1789.06,12667.017,6731.01,2912.635,4472.345,4658.285,6894.883,6054.954,1345.77,9984.795,5640.053,6140.475,2978.227,1070.123,10501.384,763.724,1932.571,1360.783,8891.258,2099.634,3090.771,19463.131,11696.507,3960.676,4216.116,12798.883,1058.158,5157.702,887.127,6830.325,28986.794,3203.383,8556.642,624.046,7614.024,5824.581,1795.263,580.116
2020-01-01,732.441,5024.803,3012.232,7177.986,39499.738,5784.308,3600.26,690.093,991.886,21569.932,10725.8,1451.911,3188.669,1847.772,12785.245,6785.644,2935.88,4503.958,4651.203,7022.22,6172.679,1362.28,10067.664,5707.165,6154.481,2956.87,1086.193,10457.177,778.962,1961.455,1377.848,9279.743,2117.566,3114.071,20154.933,11790.587,3962.031,4241.544,12989.625,1096.229,5130.729,887.099,6920.119,29217.653,3281.684,8632.044,642.495,7718.785,5892.323,1789.798,577.267
2021-01-01,732.673,5039.877,3025.891,7276.316,39237.836,5812.069,3605.597,670.05,1003.384,21781.128,10799.566,1441.553,3193.079,1900.923,12671.469,6805.985,2934.582,4509.394,4624.047,6984.723,6165.129,1372.247,10050.811,5707.39,6168.187,2949.965,1104.271,10551.162,774.948,1963.692,1388.992,9267.13,2115.877,3143.991,19835.913,11780.017,3986.639,4246.155,12964.056,1095.61,5190.705,895.376,6975.218,29527.941,3337.975,8642.274,645.57,7738.692,5895.908,1782.959,578.803
