county,2018_Fl_reg,2019_Fl_reg,2020_Fl_reg,2021_Fl_reg
Alachua,766,699,2454,2774
Baker,5,12,41,42
Bay,300,237,876,972
Bradford,22,9,35,39
Brevard,1881,1657,6088,6843
Broward,7942,6542,23689,26767
Calhoun,5,5,11,14
Charlotte,398,362,1314,1489
Citrus,201,161,637,750
Clay,382,297,1051,1184
Collier,1692,1395,5466,6384
Columbia,52,41,142,180
Dade,9559,7936,29977,34827
Desoto,23,22,70,83
Dixie,2,3,8,7
Duval,2059,1733,6101,6878
Escambia,450,389,1449,1631
Flagler,307,258,969,1092
Franklin,18,18,59,63
Gadsden,25,22,78,80
Gilchrist,10,13,39,38
Glades,5,4,21,24
Gulf,10,7,36,38
Hamilton,1,2,10,9
Hardee,6,4,30,29
Hendry,32,29,103,117
Hernando,275,229,888,1039
Highlands,141,110,347,399
Hillsborough,4420,3849,14000,16110
Holmes,8,6,10,10
Indian River,385,331,1300,1461
Jackson,15,15,43,47
Jefferson,25,21,60,60
Lake,897,816,2823,3218
Lee,1764,1463,5628,6683
Leon,656,569,2135,2377
Levy,23,24,82,106
Liberty,7,4,12,13
Madison,4,2,22,29
Manatee,1258,1116,4133,4864
Marion,550,460,1670,1900
Martin,728,563,2114,2319
Monroe,317,284,953,1047
Nassau,195,163,577,657
Okaloosa,407,308,1284,1448
Okeechobee,32,21,74,87
Orange,5245,4830,17617,19980
Osceola,678,642,2579,3064
Palm Beach,7943,6131,22458,25106
Pasco,1223,1141,4299,4902
Pinellas,3508,3014,10590,11760
Polk,1009,855,3217,3686
Putnam,37,42,155,172
Santa Rosa,303,260,988,1141
Sarasota,1983,1633,5953,6673
Seminole,1887,1563,5450,6065
St. Johns,1099,973,3830,4446
St. Lucie,601,523,2046,2400
Sumter,282,255,859,952
Suwannee,20,16,56,61
Taylor,1,6,18,20
Union,1,2,12,16
Unknown,1801,1778,6221,7489
Volusia,1079,903,3371,3796
Wakulla,25,21,76,90
Walton,211,171,649,772
Washington,13,10,25,30
Grand Total,67209,56980,209378,238849
